origin_type,strategy,ProductId,model,n,actual_total,prediction_total,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio
recent_benchmark,direct,2,XGBoost,28,1227.0,1262.1464014053345,10.23222007070269,14.60595400755413,28.601586479618163,0.23349809452296275,0.28043809797681585,0.3509184831131765,1.2552286216190882,0.028644173924477972
recent_benchmark,direct,2,LightGBM,28,1227.0,1299.194582939148,12.81356474331447,18.93606164596279,35.03246401128867,0.29240408542200913,0.29874252224732334,0.3624228872156714,2.5783779621124268,0.05883829090395106
recent_benchmark,direct,2,DynamicRidge,28,1227.0,949.1876592636108,19.525825466428483,33.40857217683194,41.78833370097429,0.4455771092583517,0.4269056420273736,0.57006636806238,-9.921869312013898,-0.22641592562052906
recent_benchmark,direct,2,SeasonalNaive,28,1227.0,2475.0,45.57142857142857,62.9631411450949,127.13374563854988,1.0399348003259983,0.6388334646799168,0.8255119761516444,44.57142857142857,1.017114914425428
recent_benchmark,direct,2,MovingAvg28,28,1227.0,4117.75,103.24107142857144,108.09410317083037,424.61748767439013,2.355949470252649,1.20355064967609,1.5679786276576806,103.24107142857144,2.355949470252649
recent_benchmark,direct,3,NeuralNet,28,1082.0,1068.1951885095114,10.185541777024193,14.864892049445348,126.89538568855802,0.2635814877603303,0.63503936997101,0.7450320562422604,-0.49302898180316795,-0.012758605813760353
recent_benchmark,direct,3,Ensemble,28,1082.0,1090.1895811034753,7.747484271958447,11.790742776980759,85.5537247833344,0.20048942663108735,0.48214184094141965,0.5789306513130329,0.29248503940983384,0.007568928931123242
recent_benchmark,direct,3,XGBoost,28,1082.0,881.9834771156311,11.730734263147626,23.48156908763193,68.72737716548636,0.30356798462858925,0.4546378911166301,0.522240728720973,-7.143447245870318,-0.18485815423693983
recent_benchmark,direct,3,LightGBM,28,1082.0,1243.9575486183167,12.323716487203326,22.315455064357923,76.86628613205725,0.31891318081487346,0.47623982475265436,0.5743427877316964,5.78419816493988,0.14968350149567158
recent_benchmark,direct,3,DynamicRidge,28,1082.0,1692.5463523864746,22.353617940630233,36.09735360156027,180.81711320559387,0.5784670077057731,0.7746145611057765,0.9093025097045783,21.80522687094552,0.5642757415771484
recent_benchmark,direct,3,SeasonalNaive,28,1082.0,2087.0,51.67857142857143,79.92295397086228,644.7335222147337,1.3373382624768946,1.1458261166362518,1.6916665207981583,35.892857142857146,0.9288354898336414
recent_benchmark,direct,3,MovingAvg28,28,1082.0,3151.249999999999,83.94260204081631,90.14155003863283,2044.151343037331,2.172266965936097,1.3877656965655716,2.4720577466277716,73.90178571428571,1.912430683918669
recent_benchmark,direct,4,NeuralNet,28,1121.0,1021.030955665134,10.191400759434575,18.00578670314145,207.78928800643666,0.25455773529363795,0.6466253859914242,1.0180310666494774,-3.5703230119595024,-0.08917845168141487
recent_benchmark,direct,4,Ensemble,28,1121.0,1151.9503925107083,10.620471483067092,16.517719194862565,178.45155151977445,0.26527493445662675,0.6495646787328381,0.9569828068478201,1.1053711610967258,0.027609627574226876
recent_benchmark,direct,4,XGBoost,28,1121.0,1198.3521345853806,10.770316766841072,20.349964392764438,120.9329783905553,0.26901772477390723,0.6447862589482004,0.8056873601492693,2.7625762351921628,0.0690027962403038
recent_benchmark,direct,4,LightGBM,28,1121.0,1243.0543969869614,12.712820798158646,19.89198349319099,196.40989492597654,0.3175370047711348,0.708052413540619,1.0169819663793729,4.3590856066771915,0.10887992594733395
recent_benchmark,direct,4,DynamicRidge,28,1121.0,1748.4343152046204,24.55783552782876,38.74050018947052,431.10746777878785,0.6133982112214142,0.926576882865901,1.3953552783181422,22.408368400165013,0.559709469406441
recent_benchmark,direct,4,SeasonalNaive,28,1121.0,2365.0,58.0,89.40837289011104,444.8801039944985,1.4487065120428189,1.3051919281386173,1.576932751722972,44.42857142857143,1.1097234611953612
recent_benchmark,direct,4,MovingAvg28,28,1121.0,3053.7499999999995,95.43494897959184,98.51403446841927,3233.9583100410423,2.383745380400153,1.49981140390273,2.8332800243366925,69.02678571428574,1.7241302408563786
recent_benchmark,direct,5,NeuralNet,28,627.0,747.5318942053254,5.8120346166724675,8.544826819471687,52.7118747756459,0.25954859532189645,0.3055079156108527,0.4757427833223294,4.304710507333051,0.1922358759255589
recent_benchmark,direct,5,Ensemble,28,627.0,743.2410438436199,6.603831312354586,9.414740775068767,49.95811232175433,0.2949079373938252,0.3383166022381026,0.4600457333557553,4.151465851557854,0.18539241442363627
recent_benchmark,direct,5,XGBoost,28,627.0,671.9132385253906,5.55088564327785,7.568037072207885,38.80528224694414,0.24788644021017509,0.3486167491195173,0.3902030361618198,1.6040442330496651,0.07163195937063896
recent_benchmark,direct,5,LightGBM,28,627.0,785.0032110214233,9.018698113305229,13.18490452478089,59.502038210548704,0.4027488790630724,0.4003501192413287,0.5194818655934069,5.642971822193691,0.25199874166096226
recent_benchmark,direct,5,DynamicRidge,28,627.0,678.531741142273,6.16649671963283,8.108363815492906,73.37627689995004,0.27537784393894615,0.3750950759018355,0.5745921086406269,1.8404193265097482,0.08218778491590582
recent_benchmark,direct,5,SeasonalNaive,28,627.0,1073.0,22.714285714285715,33.33380952040821,384.421156294299,1.014354066985646,0.8252236985559891,1.3014595899564663,15.928571428571429,0.7113237639553429
recent_benchmark,direct,5,MovingAvg28,28,627.0,1927.7499999999995,46.45535714285713,52.74547506948935,677.6145409404279,2.0745614035087714,1.0991210470404036,1.6543753084631125,46.45535714285713,2.0745614035087714
recent_benchmark,direct,6,NeuralNet,28,426.0,396.57248418910336,3.565488987929237,4.748734928059638,24.442614481232525,0.23435138887797802,0.24879307008277593,0.2997278389118483,-1.0509827075320228,-0.06907867561243342
recent_benchmark,direct,6,Ensemble,28,426.0,415.20649837273254,2.8770842185379246,3.9564888774684075,21.863501456887033,0.1891041270400514,0.20530853265078605,0.26225573279344,-0.3854822009738386,-0.025336858279970613
recent_benchmark,direct,6,XGBoost,28,426.0,393.4304692745209,3.003226799624307,4.123734162768414,22.94618943994614,0.19739518870770092,0.22520715627503798,0.2677757918482764,-1.1631975259099687,-0.07645429747765053
recent_benchmark,direct,6,LightGBM,28,426.0,446.3661198616028,3.22434447492872,4.28194601646483,25.642406855932055,0.21192874483099566,0.22342603527286817,0.2806048458686601,0.7273614236286708,0.04780779310235395
recent_benchmark,direct,6,DynamicRidge,28,426.0,378.363242149353,3.903684275490897,5.312687035626072,26.96134021039728,0.2565801871214674,0.2562651238418684,0.2977432533850915,-1.701312780380249,-0.1118233752362605
recent_benchmark,direct,6,SeasonalNaive,28,426.0,569.0,10.035714285714286,13.46291201783626,96.04091445706352,0.6596244131455399,0.5529413410298888,0.7274191032858054,5.107142857142857,0.33568075117370894
recent_benchmark,direct,6,MovingAvg28,28,426.0,886.25,17.077806122448983,19.96089129078281,178.326850262853,1.1224849094567408,0.7651547151830184,0.9628521482479377,16.437500000000004,1.0803990610328642
recent_benchmark,direct,7,NeuralNet,28,398.0,406.4607366358502,4.420349503324718,5.795632327838209,80.06710818104115,0.31097936204294496,0.42377461894136265,0.5394366606346211,0.3021691655660777,0.021258132250879837
recent_benchmark,direct,7,Ensemble,28,398.0,401.00645384676204,4.84376226650105,6.628421390103824,76.05061666903777,0.34076719462821453,0.43694205051225676,0.5423599989852089,0.10737335167007307,0.00755390413759308
recent_benchmark,direct,7,XGBoost,28,398.0,381.4463622570038,5.113084937844958,6.94406891585794,71.92493322034807,0.3597145182403488,0.4400238259175761,0.5261954379897179,-0.5912013479641506,-0.041592054630643756
recent_benchmark,direct,7,LightGBM,28,398.0,408.5102515220642,5.9592982189995904,8.129175377503003,79.92934234800619,0.41924711088439326,0.48791463188721357,0.5913071625777233,0.3753661257880075,0.026407667140864847
recent_benchmark,direct,7,DynamicRidge,28,398.0,403.79237604141235,7.048970171383449,8.58046924543683,132.67297324149035,0.49590744924305674,0.6204802799259522,0.7623702696278961,0.20687057290758407,0.014553708646764708
recent_benchmark,direct,7,SeasonalNaive,28,398.0,505.0,13.535714285714286,17.64227876437735,271.5645228903267,0.9522613065326633,0.9225501489374264,1.250510278432635,3.8214285714285716,0.26884422110552764
recent_benchmark,direct,7,MovingAvg28,28,398.0,955.25,21.13137755102041,25.83362066441042,501.3001763894222,1.4866295764536972,0.9245772064564667,1.438113913402353,19.90178571428572,1.4001256281407037
recent_benchmark,direct,8,NeuralNet,28,810.0,967.4530551841937,9.067207139806133,14.571582334409511,50.25022716645192,0.3134343208821873,0.3428738281735235,0.4431326299138334,5.623323399435487,0.19438648788172055
recent_benchmark,direct,8,Ensemble,28,810.0,860.1116491893916,7.757364905901862,10.822598857975393,42.49411516908804,0.2681558239077187,0.3367356770740125,0.38796047218640123,1.789701756763989,0.061866233567150236
recent_benchmark,direct,8,XGBoost,28,810.0,810.0608787536621,8.565663031169347,11.304057685268285,42.54732451341717,0.2960969936700515,0.3627201231901244,0.41000053744013815,0.0021742412022181918,7.515895513840664e-05
recent_benchmark,direct,8,LightGBM,28,810.0,793.1111016273499,8.039637514523097,10.668418591408125,38.138802683622856,0.2779133955637614,0.33356800311222295,0.37379585021647893,-0.6031749418803624,-0.0208504918180866
recent_benchmark,direct,8,DynamicRidge,28,810.0,724.8872938156128,10.983817543302264,14.373060317973163,69.85344659639964,0.3796875200153869,0.45698098236870627,0.5653003025979305,-3.0397395065852573,-0.10507741504245334
recent_benchmark,direct,8,SeasonalNaive,28,810.0,1115.0,25.821428571428573,34.82353473483948,239.52687898641804,0.8925925925925926,0.7960322389238679,1.140771111834398,10.892857142857142,0.3765432098765432
