model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
SeasonalNaive,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,24.662776631627207,33.85964280291435,146.5491045756177,0.6224499851680034,0.5220090350854296,0.6971910045359525,5.416386432851951,0.2667291878320264,28.416666666666668,direct,1,development
MovingAvg28,conditional,model_specific,global,12,341,341,341,341,1.0,21.306475247779595,34.4458558720674,100.7468875702624,0.47175560414861645,0.46398810585545114,0.6423386854418043,2.1762890607911642,0.048186128805258556,341.0,direct,1,development
MovingAvg28,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,21.08695680079764,27.077107865731616,98.0183110617373,0.5066734025026917,0.46301279397707024,0.5984391705337546,1.7888748591168724,0.19616832590632813,28.416666666666668,direct,1,development
NeuralNet,realized,common,global,12,347,347,347,344,1.0,15.13958292401429,24.892626789537303,49.32946153446064,0.2774649187991964,0.355656695074218,0.4789548337772148,-4.752893516713157,-0.08710683909159968,344.0,direct,2,development
NeuralNet,realized,common,mean_fold,12,347,347,347,344,1.0,14.926946433952466,19.766080747774858,49.22498571477673,0.31523314431290334,0.3574193012613107,0.4689646636503589,-4.590794019280975,0.029407183272849843,28.666666666666668,direct,2,development
Ensemble,realized,common,global,12,347,347,347,344,1.0,13.878500718708702,23.71567196529399,41.247622197917785,0.2543529167413848,0.3275620572411572,0.4431391480619974,-5.003251524088489,-0.09169517977018861,344.0,direct,2,development
Ensemble,realized,common,mean_fold,12,347,347,347,344,1.0,13.651055959362317,17.52197582136134,41.25175027483049,0.27803594352020883,0.328573787040115,0.4324076854239632,-4.725512770911036,0.005620327708770197,28.666666666666668,direct,2,development
XGBoost,realized,common,global,12,347,347,347,344,1.0,14.757540729200077,26.431729538615087,40.43053605767394,0.2704631865127771,0.342905824709758,0.4765230352916938,-6.367684533473017,-0.11670130418298977,344.0,direct,2,development
XGBoost,realized,common,mean_fold,12,347,347,347,344,1.0,14.502373842120539,18.95090566742495,40.61233482321024,0.29364692313211344,0.34388124602073694,0.4583617290155768,-6.048890038171301,-0.009239662132986652,28.666666666666668,direct,2,development
LightGBM,realized,common,global,12,347,347,347,344,1.0,14.331777678845926,25.763776664600808,38.67488053960047,0.26266017695913685,0.32908009696568286,0.43023486794393667,-4.359714678726917,-0.07990100423452634,344.0,direct,2,development
LightGBM,realized,common,mean_fold,12,347,347,347,344,1.0,14.128260189611234,19.176781259297865,38.717012218947936,0.27893658392281484,0.3301310005726816,0.4176057378735396,-4.001549780582204,-0.006811135221048946,28.666666666666668,direct,2,development
DynamicRidge,realized,common,global,12,347,347,347,344,1.0,23.613916177995677,50.999597710834536,62.26205738108774,0.4327750221220305,0.4410563965953196,0.6007238856902127,-2.4959760141060796,-0.045744046289424155,344.0,direct,2,development
DynamicRidge,realized,common,mean_fold,12,347,347,347,344,1.0,23.12824834516387,33.73437402489107,62.132494298428774,0.4006748278911116,0.4415685787336849,0.5796585101519378,-2.3951157867650927,0.019936583431339718,28.666666666666668,direct,2,development
SeasonalNaive,realized,common,global,12,347,347,344,344,0.9913544668587896,31.786821705426355,54.60718899961137,166.5197244870042,0.5825608240099449,0.5599431534178035,0.8879277209342932,6.410852713178295,0.11749245249511633,344.0,direct,2,development
SeasonalNaive,realized,common,mean_fold,12,347,347,344,344,0.9913544668587896,31.0979012345679,42.48713731345276,162.39319754393918,0.8421352322892349,0.5587896925359973,0.8028851261401592,5.974074074074074,0.5026133955605385,28.666666666666668,direct,2,development
